Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z017 Build/TMAYU1QN) [FBAN/FB4A; FBAV/104.0.0.68.1 FBBV/7232729 FBDM={density=3.0,width=783,height=667} FBLC/zh_TW FBRV/1371495 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; ASUS_Z010 Build/GAB8PQKS) [FBAN/FB4A; FBAV/118.0.0.43.8 FBBV/6408305 FBDM={density=3.0,width=593,height=1672} FBLC/pt_BR FBRV/7479182 FBCR/Sprint FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z010 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; SM-G973F Build/LKY926G9) [FBAN/FB4A; FBAV/102.0.0.23.52 FBBV/2494386 FBDM={density=3.0,width=403,height=1886} FBLC/en_US FBRV/8628796 FBCR/Verizon FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; V2010 Build/R0F10SL4) [FBAN/FB4A; FBAV/117.0.0.89.89 FBBV/5925605 FBDM={density=3.0,width=1034,height=991} FBLC/ko_KR FBRV/1882961 FBCR/Verizon FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; LM-G820 Build/QVQY0Q2L) [FBAN/FB4A; FBAV/106.0.0.9.64 FBBV/4950374 FBDM={density=3.0,width=628,height=1118} FBLC/pt_BR FBRV/5692403 FBCR/Orange FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 7.0; Nova 5T Build/3BK7CD94) [FBAN/FB4A; FBAV/117.0.0.30.61 FBBV/6256297 FBDM={density=3.0,width=760,height=796} FBLC/es_ES FBRV/8225223 FBCR/Vodafone FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; V2010 Build/XN9GU4QH) [FBAN/FB4A; FBAV/94.0.0.23.39 FBBV/1350335 FBDM={density=3.0,width=842,height=1271} FBLC/es_ES FBRV/9975448 FBCR/Orange FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; SM-N975F Build/TAYEXX7G) [FBAN/FB4A; FBAV/104.0.0.83.48 FBBV/14900 FBDM={density=3.0,width=374,height=776} FBLC/zh_CN FBRV/8271940 FBCR/Boost Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-N975F FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 10.0; V2072 Build/93CQLPVF) [FBAN/FB4A; FBAV/82.0.0.14.24 FBBV/5759000 FBDM={density=3.0,width=539,height=936} FBLC/ko_KR FBRV/647531 FBCR/Boost Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; V2072 Build/6U3QR2MV) [FBAN/FB4A; FBAV/105.0.0.21.16 FBBV/4715814 FBDM={density=3.0,width=457,height=1893} FBLC/ja_JP FBRV/5314874 FBCR/Verizon FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; LM-Q710 Build/1SLERX19) [FBAN/FB4A; FBAV/108.0.0.86.65 FBBV/5983207 FBDM={density=3.0,width=733,height=1205} FBLC/es_ES FBRV/251291 FBCR/Verizon FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-Q710 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; Mi 10T Pro Build/4S45JY07) [FBAN/FB4A; FBAV/86.0.0.66.57 FBBV/4622830 FBDM={density=3.0,width=875,height=1316} FBLC/zh_CN FBRV/4571283 FBCR/Boost Mobile FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; V2027 Build/S8R6GXDO) [FBAN/FB4A; FBAV/92.0.0.42.100 FBBV/4300370 FBDM={density=3.0,width=909,height=674} FBLC/ja_JP FBRV/6826657 FBCR/AT&T FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2027 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; P30 Pro Build/C6JOILEH) [FBAN/FB4A; FBAV/110.0.0.3.33 FBBV/7937462 FBDM={density=3.0,width=554,height=787} FBLC/ja_JP FBRV/948486 FBCR/Sprint FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P30 Pro FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 9.0; CPH2171 Build/WOH2EEGH) [FBAN/FB4A; FBAV/86.0.0.53.6 FBBV/4958993 FBDM={density=3.0,width=398,height=1269} FBLC/es_ES FBRV/7041468 FBCR/AT&T FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2171 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; SM-N975F Build/72APZGXM) [FBAN/FB4A; FBAV/89.0.0.77.81 FBBV/5404073 FBDM={density=3.0,width=649,height=1596} FBLC/fr_FR FBRV/7829841 FBCR/Vodafone FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-N975F FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 8.0; P40 Pro Build/2XDNY44E) [FBAN/FB4A; FBAV/85.0.0.29.42 FBBV/6114341 FBDM={density=3.0,width=817,height=1655} FBLC/es_ES FBRV/1544862 FBCR/Orange FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P40 Pro FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 10.0; Poco X3 NFC Build/BJYYK83C) [FBAN/FB4A; FBAV/84.0.0.92.47 FBBV/5347617 FBDM={density=3.0,width=673,height=1177} FBLC/fr_FR FBRV/5824028 FBCR/Orange FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Poco X3 NFC FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 11.0; ASUS_Z012 Build/62IDIMCO) [FBAN/FB4A; FBAV/82.0.0.16.10 FBBV/9074726 FBDM={density=3.0,width=620,height=1264} FBLC/it_IT FBRV/2969378 FBCR/Vodafone FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z012 FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 7.0; P40 Pro Build/QRXUHLUW) [FBAN/FB4A; FBAV/91.0.0.37.38 FBBV/2216863 FBDM={density=3.0,width=930,height=1037} FBLC/ja_JP FBRV/9896995 FBCR/Telecom FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P40 Pro FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Poco X3 NFC Build/X2JF4SJP) [FBAN/FB4A; FBAV/119.0.0.9.27 FBBV/4936032 FBDM={density=3.0,width=1079,height=820} FBLC/zh_CN FBRV/5732541 FBCR/Sprint FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Poco X3 NFC FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 11.0; SM-A127F Build/XZOTKZEP) [FBAN/FB4A; FBAV/101.0.0.22.71 FBBV/9740815 FBDM={density=3.0,width=888,height=1021} FBLC/en_US FBRV/788005 FBCR/AT&T FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; Moto G Fast Build/U74UW9ZF) [FBAN/FB4A; FBAV/119.0.0.29.20 FBBV/688562 FBDM={density=3.0,width=608,height=1394} FBLC/fr_FR FBRV/5509580 FBCR/Telecom FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; Moto G Play Build/DUCYC3UQ) [FBAN/FB4A; FBAV/120.0.0.26.85 FBBV/3504214 FBDM={density=3.0,width=625,height=788} FBLC/fr_FR FBRV/8620094 FBCR/O2 FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Mi 9T Build/QKF987X5) [FBAN/FB4A; FBAV/81.0.0.4.6 FBBV/1776436 FBDM={density=3.0,width=460,height=983} FBLC/es_ES FBRV/5437752 FBCR/Vodafone FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 9T FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; V2072 Build/L5YFYSI4) [FBAN/FB4A; FBAV/98.0.0.86.74 FBBV/7853048 FBDM={density=3.0,width=398,height=808} FBLC/pt_BR FBRV/7313054 FBCR/Sprint FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; Xperia 10 Build/IOWN20K4) [FBAN/FB4A; FBAV/120.0.0.73.81 FBBV/3691001 FBDM={density=3.0,width=695,height=1669} FBLC/en_US FBRV/3862607 FBCR/Boost Mobile FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; ASUS_Z007 Build/GGNDTRTC) [FBAN/FB4A; FBAV/92.0.0.66.4 FBBV/9947098 FBDM={density=3.0,width=963,height=998} FBLC/en_US FBRV/3663047 FBCR/Sprint FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z007 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 9.0; LM-Q710 Build/G6V999A5) [FBAN/FB4A; FBAV/104.0.0.32.72 FBBV/748339 FBDM={density=3.0,width=741,height=1456} FBLC/it_IT FBRV/7864803 FBCR/AT&T FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-Q710 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; Mate 20 Pro Build/LMRCHV5P) [FBAN/FB4A; FBAV/109.0.0.67.90 FBBV/7284156 FBDM={density=3.0,width=363,height=1362} FBLC/de_DE FBRV/866290 FBCR/O2 FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Mate 20 Pro FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; P40 Pro Build/UU9J7G7C) [FBAN/FB4A; FBAV/96.0.0.97.3 FBBV/6043543 FBDM={density=3.0,width=1053,height=731} FBLC/ja_JP FBRV/4170414 FBCR/Telecom FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P40 Pro FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; V2072 Build/6PA4R0HL) [FBAN/FB4A; FBAV/91.0.0.58.1 FBBV/4364871 FBDM={density=3.0,width=840,height=1008} FBLC/en_US FBRV/64823 FBCR/Verizon FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 9.0; LM-G820 Build/W2HAF05E) [FBAN/FB4A; FBAV/95.0.0.38.82 FBBV/731013 FBDM={density=3.0,width=933,height=1369} FBLC/fr_FR FBRV/9220090 FBCR/Boost Mobile FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 10.0; ASUS_Z010 Build/JOFHYXBQ) [FBAN/FB4A; FBAV/92.0.0.96.84 FBBV/3820352 FBDM={density=3.0,width=572,height=877} FBLC/pt_BR FBRV/5476062 FBCR/Verizon FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z010 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; ASUS_Z007 Build/YP4LB6EW) [FBAN/FB4A; FBAV/108.0.0.100.30 FBBV/4990329 FBDM={density=3.0,width=1077,height=836} FBLC/en_US FBRV/9903123 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z007 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; Moto G Play Build/ZYE31MEQ) [FBAN/FB4A; FBAV/117.0.0.23.37 FBBV/241459 FBDM={density=3.0,width=440,height=918} FBLC/zh_CN FBRV/8869071 FBCR/AT&T FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Play FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Nova 5T Build/UJRSKS8I) [FBAN/FB4A; FBAV/90.0.0.67.32 FBBV/3019983 FBDM={density=3.0,width=721,height=1685} FBLC/zh_CN FBRV/8696517 FBCR/AT&T FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Pixel 6 Pro Build/FQO16P85) [FBAN/FB4A; FBAV/115.0.0.14.78 FBBV/2741839 FBDM={density=3.0,width=433,height=1452} FBLC/es_ES FBRV/8963919 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 6.0; Redmi Note 9 Pro Build/L58H1Z3U) [FBAN/FB4A; FBAV/88.0.0.31.86 FBBV/6139028 FBDM={density=3.0,width=1025,height=1276} FBLC/fr_FR FBRV/5716446 FBCR/AT&T FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Redmi Note 9 Pro FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Pixel 6 Build/H3C7FYEI) [FBAN/FB4A; FBAV/113.0.0.9.19 FBBV/4847599 FBDM={density=3.0,width=806,height=1406} FBLC/en_US FBRV/840984 FBCR/Orange FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; V2072 Build/RGRIM2SG) [FBAN/FB4A; FBAV/82.0.0.54.8 FBBV/3328654 FBDM={density=3.0,width=780,height=1064} FBLC/ko_KR FBRV/2571519 FBCR/Telecom FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Nova 5T Build/CQMMZA2L) [FBAN/FB4A; FBAV/101.0.0.49.46 FBBV/1290360 FBDM={density=3.0,width=477,height=1550} FBLC/zh_TW FBRV/5451503 FBCR/Verizon FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Xperia 10 Build/62XGB1UN) [FBAN/FB4A; FBAV/118.0.0.26.89 FBBV/3472297 FBDM={density=3.0,width=491,height=1394} FBLC/zh_CN FBRV/6941678 FBCR/Orange FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; P40 Pro Build/REWKCDMR) [FBAN/FB4A; FBAV/115.0.0.56.48 FBBV/2606667 FBDM={density=3.0,width=1043,height=822} FBLC/zh_CN FBRV/2012 FBCR/Vodafone FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/P40 Pro FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; Xperia 5 II Build/0M8AIUV6) [FBAN/FB4A; FBAV/119.0.0.52.50 FBBV/6034138 FBDM={density=3.0,width=1058,height=650} FBLC/ko_KR FBRV/5127131 FBCR/Telecom FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 12.0; SM-G973F Build/U5FACV8Y) [FBAN/FB4A; FBAV/91.0.0.13.15 FBBV/2566835 FBDM={density=3.0,width=944,height=928} FBLC/ko_KR FBRV/495212 FBCR/Verizon FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Xperia 10 Build/DQOI6A9T) [FBAN/FB4A; FBAV/120.0.0.96.40 FBBV/7097733 FBDM={density=3.0,width=438,height=1381} FBLC/ko_KR FBRV/5430070 FBCR/Verizon FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 10 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 9.0; ASUS_Z007 Build/UYYQQLFD) [FBAN/FB4A; FBAV/90.0.0.73.85 FBBV/6936902 FBDM={density=3.0,width=689,height=1170} FBLC/it_IT FBRV/8166562 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z007 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Pixel 6 Build/N339W3FJ) [FBAN/FB4A; FBAV/89.0.0.46.37 FBBV/7298398 FBDM={density=3.0,width=1047,height=833} FBLC/pt_BR FBRV/6800998 FBCR/AT&T FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Nova 5T Build/5X1E48Q9) [FBAN/FB4A; FBAV/112.0.0.96.58 FBBV/1735402 FBDM={density=3.0,width=908,height=1601} FBLC/es_ES FBRV/9350833 FBCR/Vodafone FBMF/Huawei FBBD/Huawei FBPN/com.facebook.katana FBDV/Nova 5T FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 4.2.2; LM-G820 Build/NJAKC0HS) [FBAN/FB4A; FBAV/114.0.0.67.2 FBBV/1389026 FBDM={density=3.0,width=503,height=1250} FBLC/zh_CN FBRV/8895011 FBCR/O2 FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; SM-G973F Build/BI22X3ZF) [FBAN/FB4A; FBAV/95.0.0.34.68 FBBV/4768021 FBDM={density=3.0,width=926,height=800} FBLC/en_US FBRV/535771 FBCR/Telecom FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-G973F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Xperia 5 II Build/FXU5NC0D) [FBAN/FB4A; FBAV/107.0.0.55.50 FBBV/6043438 FBDM={density=3.0,width=533,height=1426} FBLC/it_IT FBRV/8540343 FBCR/Sprint FBMF/Sony FBBD/Sony FBPN/com.facebook.katana FBDV/Xperia 5 II FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Moto G Stylus Build/HT4EKLU5) [FBAN/FB4A; FBAV/117.0.0.11.26 FBBV/7817560 FBDM={density=3.0,width=1014,height=739} FBLC/es_ES FBRV/8046457 FBCR/T-Mobile FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Stylus FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; SM-A127F Build/9EVH9UPA) [FBAN/FB4A; FBAV/105.0.0.4.52 FBBV/8155066 FBDM={density=3.0,width=917,height=1765} FBLC/fr_FR FBRV/1886980 FBCR/T-Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; LM-Q710 Build/3UKN1TNO) [FBAN/FB4A; FBAV/85.0.0.19.76 FBBV/5241782 FBDM={density=3.0,width=687,height=1833} FBLC/en_US FBRV/6416956 FBCR/Boost Mobile FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-Q710 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Pixel 4a Build/YIU926NQ) [FBAN/FB4A; FBAV/100.0.0.13.34 FBBV/4539266 FBDM={density=3.0,width=710,height=661} FBLC/pt_BR FBRV/1330647 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 5.0; Moto G Fast Build/TP5P1FE4) [FBAN/FB4A; FBAV/84.0.0.54.98 FBBV/8312440 FBDM={density=3.0,width=689,height=1574} FBLC/ko_KR FBRV/7295218 FBCR/Orange FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Fast FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 9.0; V2010 Build/PWDC5OGU) [FBAN/FB4A; FBAV/92.0.0.75.90 FBBV/9021986 FBDM={density=3.0,width=575,height=1620} FBLC/it_IT FBRV/8353796 FBCR/Orange FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/9.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; Mi 10T Pro Build/39JI4Z35) [FBAN/FB4A; FBAV/107.0.0.80.95 FBBV/8381703 FBDM={density=3.0,width=672,height=1514} FBLC/en_US FBRV/8957973 FBCR/Boost Mobile FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 5.0; Mi 10T Pro Build/O53W36SW) [FBAN/FB4A; FBAV/104.0.0.53.14 FBBV/1191500 FBDM={density=3.0,width=820,height=856} FBLC/ja_JP FBRV/1458608 FBCR/Telecom FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 10T Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 11.0; Moto G Stylus Build/SW7TKYFX) [FBAN/FB4A; FBAV/115.0.0.13.7 FBBV/1930315 FBDM={density=3.0,width=567,height=1116} FBLC/fr_FR FBRV/8254443 FBCR/Boost Mobile FBMF/Motorola FBBD/Motorola FBPN/com.facebook.katana FBDV/Moto G Stylus FBSV/11.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 12.0; Pixel 4a Build/SQJVLONE) [FBAN/FB4A; FBAV/92.0.0.85.62 FBBV/387482 FBDM={density=3.0,width=511,height=641} FBLC/es_ES FBRV/7104772 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Mi 9T Build/H5AUOUD1) [FBAN/FB4A; FBAV/97.0.0.13.41 FBBV/2908307 FBDM={density=3.0,width=966,height=1396} FBLC/pt_BR FBRV/2946178 FBCR/Vodafone FBMF/Xiaomi FBBD/Xiaomi FBPN/com.facebook.katana FBDV/Mi 9T FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; Pixel 6 Pro Build/T2H9JCL9) [FBAN/FB4A; FBAV/94.0.0.16.1 FBBV/3483804 FBDM={density=3.0,width=485,height=1668} FBLC/zh_TW FBRV/3262203 FBCR/Verizon FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 6.0; Pixel 6 Build/VPT1X871) [FBAN/FB4A; FBAV/113.0.0.1.98 FBBV/6688705 FBDM={density=3.0,width=770,height=1107} FBLC/pt_BR FBRV/9425320 FBCR/Sprint FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 12.0; V2010 Build/4UKHPW5Y) [FBAN/FB4A; FBAV/103.0.0.34.56 FBBV/6719695 FBDM={density=3.0,width=953,height=1499} FBLC/pt_BR FBRV/1782298 FBCR/O2 FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2010 FBSV/12.0 FBOP/1 FBCA/x86:armeabi-v7a]
